+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
|                   42 | Университет гражданской защиты МЧС Республики Беларусь - белор. ...                                                            |                      NULL |                      NULL |                      NULL |                       253 |                       239 |
|                   43 | Белорусский торгово-экономический университет потребительской ко...                                                            |                      NULL |                      NULL |                      NULL |                       239 |                       244 |
|                   44 | БИП — Университет права и социально-информационных технологий - ...                                                            |                      NULL |                      NULL |                      NULL |                       244 |                       246 |
|                   45 | Институт предпринимательской деятельности - белор. Інстытут прад...                                                            |                      NULL |                      NULL |                      NULL |                       213 |                       251 |
|                   46 | Институт парламентаризма и предпринимательства - белор. Інстытут...                                                            |                      NULL |                      NULL |                      NULL |                       250 |                       235 |
|                   47 | Институт управления и предпринимательства - белор. Інстытут кіра...                                                            |                      NULL |                      NULL |                      NULL |                       248 |                       258 |
|                   48 | Институт современных знаний им. Широкова - белор. Інстытут сучас...                                                            |                      NULL |                      NULL |                      NULL |                       231 |                       245 |
|                   49 | Международный гуманитарно-экономический институт - белор. Міжнар...                                                            |                      NULL |                      NULL |                      NULL |                       218 |                       260 |
|                   50 | Международный университет «МИТСО» - белор. Міжнародны універсітэ...                                                            |                      NULL |                      NULL |                      NULL |                       261 |                       262 |
|                   51 | Минский инновационный университет- белор. Мінскі інавацыйны ўнів...                                                            |                      NULL |                      NULL |                      NULL |                       249 |                       243 |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
51 rows in set, 51 warnings (0.024 sec)
