+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
|                   19 | Белорусский государственный экономический университет - белор. Б...                                                            |                       228 |                       247 |                       232 |                       240 |                      NULL |
|                   20 | Белорусский национальный технический университет - белор. Белару...                                                            |                       234 |                       227 |                       226 |                       261 |                      NULL |
|                   21 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўн...                                                            |                       257 |                       215 |                       245 |                       228 |                      NULL |
|                   22 | Брестский государственный технический университет - белор. Брэсц...                                                            |                       225 |                       240 |                       252 |                       228 |                      NULL |
|                   23 | Брестский государственный университет имени А. С. Пушкина - бело...                                                            |                       237 |                       224 |                       255 |                       252 |                      NULL |
|                   24 | Витебская государственная академия ветеринарной медицины - белор...                                                            |                       212 |                       254 |                       240 |                       219 |                      NULL |
|                   25 | Витебский государственный ордена Дружбы народов медицинский унив...                                                            |                       225 |                       263 |                       273 |                       247 |                      NULL |
|                   26 | Витебский государственный технологический университет - белор. В...                                                            |                       253 |                       217 |                       227 |                       211 |                      NULL |
|                   27 | Витебский государственный университет имени П. М. Машерова - бел...                                                            |                       267 |                       210 |                       246 |                       259 |                      NULL |
|                   28 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Р...                                                            |                       228 |                       229 |                       271 |                       213 |                      NULL |
|                   29 | Гомельский государственный медицинский университет - белор. Гоме...                                                            |                       229 |                       205 |                       253 |                       270 |                      NULL |
|                   30 | Гомельский государственный технический университет имени П. О. С...                                                            |                       252 |                       215 |                       222 |                       245 |                      NULL |
|                   31 | Гомельский государственный университет имени Франциска Скорины -...                                                            |                       221 |                       246 |                       274 |                       209 |                      NULL |
|                   32 | Гродненский государственный аграрный университет - белор. Гродзе...                                                            |                       220 |                       230 |                       257 |                       227 |                      NULL |
|                   33 | Гродненский государственный медицинский университет - белор. Гро...                                                            |                       253 |                       247 |                       236 |                       266 |                      NULL |
|                   34 | Гродненский государственный университет имени Янки Купалы - бело...                                                            |                       262 |                       262 |                       271 |                       223 |                      NULL |
|                   35 | Институт пограничной службы Республики Беларусь - белор. Iнстыту...                                                            |                       277 |                       246 |                       241 |                       235 |                      NULL |
|                   36 | Минский государственный лингвистический университет - белор. Мін...                                                            |                       234 |                       261 |                       213 |                       246 |                      NULL |
|                   37 | Могилёвский государственный университет имени А. А. Кулешова - б...                                                            |                       211 |                       215 |                       216 |                       263 |                      NULL |
|                   38 | Могилёвский институт Министерства внутренних дел Республики Бела...                                                            |                       267 |                       249 |                       221 |                       224 |                      NULL |
|                   39 | Мозырский государственный педагогический университет имени И. П....                                                            |                       226 |                       264 |                       239 |                       263 |                      NULL |
|                   40 | Полесский государственный университет - белор. Палескі дзяржаўны...                                                            |                       238 |                       254 |                       241 |                       267 |                      NULL |
|                   41 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ...                                                            |                       248 |                       250 |                       213 |                       215 |                      NULL |
|                   42 | Университет гражданской защиты МЧС Республики Беларусь - белор. ...                                                            |                       253 |                       239 |                       254 |                       227 |                      NULL |
|                   43 | Белорусский торгово-экономический университет потребительской ко...                                                            |                       239 |                       244 |                       248 |                       253 |                      NULL |
|                   44 | БИП — Университет права и социально-информационных технологий - ...                                                            |                       244 |                       246 |                       234 |                       245 |                      NULL |
|                   45 | Институт предпринимательской деятельности - белор. Інстытут прад...                                                            |                       213 |                       251 |                       239 |                       221 |                      NULL |
|                   46 | Институт парламентаризма и предпринимательства - белор. Інстытут...                                                            |                       250 |                       235 |                       225 |                       275 |                      NULL |
|                   47 | Институт управления и предпринимательства - белор. Інстытут кіра...                                                            |                       248 |                       258 |                       214 |                       253 |                      NULL |
|                   48 | Институт современных знаний им. Широкова - белор. Інстытут сучас...                                                            |                       231 |                       245 |                       271 |                       265 |                      NULL |
|                   49 | Международный гуманитарно-экономический институт - белор. Міжнар...                                                            |                       218 |                       260 |                       227 |                       256 |                      NULL |
|                   50 | Международный университет «МИТСО» - белор. Міжнародны універсітэ...                                                            |                       261 |                       262 |                       242 |                       224 |                      NULL |
|                   51 | Минский инновационный университет- белор. Мінскі інавацыйны ўнів...                                                            |                       249 |                       243 |                       213 |                       209 |                      NULL |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
51 rows in set, 51 warnings (0.055 sec)
