+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | КолСтуд1Курса             | КолСтуд2Курса             | КолСтуд3Курса             | КолСтуд4Курса             | КолСтуд5Курса             |
|                   16 | Белорусский государственный университет пищевых и химических тех...                                                            |                      NULL |                       235 |                       262 |                       237 |                       271 |
|                   17 | Белорусский государственный университет транспорта - белор. Бела...                                                            |                      NULL |                       263 |                       254 |                       251 |                       211 |
|                   18 | Белорусский государственный университет физической культуры - бе...                                                            |                      NULL |                       219 |                       221 |                       258 |                       228 |
|                   19 | Белорусский государственный экономический университет - белор. Б...                                                            |                      NULL |                       228 |                       247 |                       232 |                       240 |
|                   20 | Белорусский национальный технический университет - белор. Белару...                                                            |                      NULL |                       234 |                       227 |                       226 |                       261 |
|                   21 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўн...                                                            |                      NULL |                       257 |                       215 |                       245 |                       228 |
|                   22 | Брестский государственный технический университет - белор. Брэсц...                                                            |                      NULL |                       225 |                       240 |                       252 |                       228 |
|                   23 | Брестский государственный университет имени А. С. Пушкина - бело...                                                            |                      NULL |                       237 |                       224 |                       255 |                       252 |
|                   24 | Витебская государственная академия ветеринарной медицины - белор...                                                            |                      NULL |                       212 |                       254 |                       240 |                       219 |
|                   25 | Витебский государственный ордена Дружбы народов медицинский унив...                                                            |                      NULL |                       225 |                       263 |                       273 |                       247 |
|                   26 | Витебский государственный технологический университет - белор. В...                                                            |                      NULL |                       253 |                       217 |                       227 |                       211 |
|                   27 | Витебский государственный университет имени П. М. Машерова - бел...                                                            |                      NULL |                       267 |                       210 |                       246 |                       259 |
|                   28 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Р...                                                            |                      NULL |                       228 |                       229 |                       271 |                       213 |
|                   29 | Гомельский государственный медицинский университет - белор. Гоме...                                                            |                      NULL |                       229 |                       205 |                       253 |                       270 |
|                   30 | Гомельский государственный технический университет имени П. О. С...                                                            |                      NULL |                       252 |                       215 |                       222 |                       245 |
|                   31 | Гомельский государственный университет имени Франциска Скорины -...                                                            |                      NULL |                       221 |                       246 |                       274 |                       209 |
|                   32 | Гродненский государственный аграрный университет - белор. Гродзе...                                                            |                      NULL |                       220 |                       230 |                       257 |                       227 |
|                   33 | Гродненский государственный медицинский университет - белор. Гро...                                                            |                      NULL |                       253 |                       247 |                       236 |                       266 |
|                   34 | Гродненский государственный университет имени Янки Купалы - бело...                                                            |                      NULL |                       262 |                       262 |                       271 |                       223 |
|                   35 | Институт пограничной службы Республики Беларусь - белор. Iнстыту...                                                            |                      NULL |                       277 |                       246 |                       241 |                       235 |
|                   36 | Минский государственный лингвистический университет - белор. Мін...                                                            |                      NULL |                       234 |                       261 |                       213 |                       246 |
|                   37 | Могилёвский государственный университет имени А. А. Кулешова - б...                                                            |                      NULL |                       211 |                       215 |                       216 |                       263 |
|                   38 | Могилёвский институт Министерства внутренних дел Республики Бела...                                                            |                      NULL |                       267 |                       249 |                       221 |                       224 |
|                   39 | Мозырский государственный педагогический университет имени И. П....                                                            |                      NULL |                       226 |                       264 |                       239 |                       263 |
|                   40 | Полесский государственный университет - белор. Палескі дзяржаўны...                                                            |                      NULL |                       238 |                       254 |                       241 |                       267 |
|                   41 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ...                                                            |                      NULL |                       248 |                       250 |                       213 |                       215 |
|                   42 | Университет гражданской защиты МЧС Республики Беларусь - белор. ...                                                            |                      NULL |                       253 |                       239 |                       254 |                       227 |
|                   43 | Белорусский торгово-экономический университет потребительской ко...                                                            |                      NULL |                       239 |                       244 |                       248 |                       253 |
|                   44 | БИП — Университет права и социально-информационных технологий - ...                                                            |                      NULL |                       244 |                       246 |                       234 |                       245 |
|                   45 | Институт предпринимательской деятельности - белор. Інстытут прад...                                                            |                      NULL |                       213 |                       251 |                       239 |                       221 |
|                   46 | Институт парламентаризма и предпринимательства - белор. Інстытут...                                                            |                      NULL |                       250 |                       235 |                       225 |                       275 |
|                   47 | Институт управления и предпринимательства - белор. Інстытут кіра...                                                            |                      NULL |                       248 |                       258 |                       214 |                       253 |
|                   48 | Институт современных знаний им. Широкова - белор. Інстытут сучас...                                                            |                      NULL |                       231 |                       245 |                       271 |                       265 |
|                   49 | Международный гуманитарно-экономический институт - белор. Міжнар...                                                            |                      NULL |                       218 |                       260 |                       227 |                       256 |
|                   50 | Международный университет «МИТСО» - белор. Міжнародны універсітэ...                                                            |                      NULL |                       261 |                       262 |                       242 |                       224 |
|                   51 | Минский инновационный университет- белор. Мінскі інавацыйны ўнів...                                                            |                      NULL |                       249 |                       243 |                       213 |                       209 |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+---------------------------+---------------------------+---------------------------+---------------------------+---------------------------+
51 rows in set, 51 warnings (0.050 sec)
