+----------------------+--------------------------------------------------------------------------------------------------------------------------------+----------------------+----------------+------------------------+
| КодУнивера           | НаименованиеУнивера                                                                                                            | Город                | Рейтинг        | Комментарий            |
|                   24 | Витебская государственная академия ветеринарной медицины - белор...                                                            | Витебск              |              7 | NULL                   |
|                   25 | Витебский государственный ордена Дружбы народов медицинский унив...                                                            | Витебск              |             15 | NULL                   |
|                   26 | Витебский государственный технологический университет - белор. В...                                                            | Витебск              |             17 | NULL                   |
|                   27 | Витебский государственный университет имени П. М. Машерова - бел...                                                            | Витебск              |             17 | NULL                   |
|                   28 | Военная академия Республики Беларусь - белор. Ваенная акадэмія Р...                                                            | Минск                |              9 | NULL                   |
|                   29 | Гомельский государственный медицинский университет - белор. Гоме...                                                            | Гомель               |             16 | NULL                   |
|                   30 | Гомельский государственный технический университет имени П. О. С...                                                            | Гомель               |             13 | NULL                   |
|                   31 | Гомельский государственный университет имени Франциска Скорины -...                                                            | Гомель               |              7 | NULL                   |
|                   32 | Гродненский государственный аграрный университет - белор. Гродзе...                                                            | Гродно               |              7 | NULL                   |
|                   33 | Гродненский государственный медицинский университет - белор. Гро...                                                            | Гродно               |             14 | NULL                   |
|                   34 | Гродненский государственный университет имени Янки Купалы - бело...                                                            | Гродно               |             12 | NULL                   |
|                   35 | Институт пограничной службы Республики Беларусь - белор. Iнстыту...                                                            | Минск                |              8 | NULL                   |
|                   36 | Минский государственный лингвистический университет - белор. Мін...                                                            | Минск                |             14 | NULL                   |
|                   37 | Могилёвский государственный университет имени А. А. Кулешова - б...                                                            | Могилёв              |             11 | NULL                   |
|                   38 | Могилёвский институт Министерства внутренних дел Республики Бела...                                                            | Могилёв              |              8 | NULL                   |
|                   39 | Мозырский государственный педагогический университет имени И. П....                                                            | Мозырь               |              7 | NULL                   |
|                   40 | Полесский государственный университет - белор. Палескі дзяржаўны...                                                            | Пинск                |              2 | NULL                   |
|                   41 | Полоцкий государственный университет - белор. Полацкі дзяржаўны ...                                                            | Новополоцк           |              5 | NULL                   |
|                   42 | Университет гражданской защиты МЧС Республики Беларусь - белор. ...                                                            | Минск                |              4 | NULL                   |
|                   43 | Белорусский торгово-экономический университет потребительской ко...                                                            | Гомель               |             13 | NULL                   |
|                   44 | БИП — Университет права и социально-информационных технологий - ...                                                            | Минск                |              2 | NULL                   |
|                   45 | Институт предпринимательской деятельности - белор. Інстытут прад...                                                            | Минск                |             14 | NULL                   |
|                   46 | Институт парламентаризма и предпринимательства - белор. Інстытут...                                                            | Минск                |             14 | NULL                   |
|                   47 | Институт управления и предпринимательства - белор. Інстытут кіра...                                                            | Минск                |              5 | NULL                   |
|                   48 | Институт современных знаний им. Широкова - белор. Інстытут сучас...                                                            | Минск                |              8 | NULL                   |
|                   49 | Международный гуманитарно-экономический институт - белор. Міжнар...                                                            | Минск                |              8 | NULL                   |
|                   50 | Международный университет «МИТСО» - белор. Міжнародны універсітэ...                                                            | Минск                |             14 | NULL                   |
|                   51 | Минский инновационный университет- белор. Мінскі інавацыйны ўнів...                                                            | Минск                |              9 | NULL                   |
|                   52 | БрГТУ...                                                                                                                       | Брест                |              8 | Высокий                |
|                   53 | БрГУ...                                                                                                                        | Брест                |              7 | Средний                |
|                   54 | БГУИР...                                                                                                                       | Минск                |              4 | Низкий                 |
+----------------------+--------------------------------------------------------------------------------------------------------------------------------+----------------------+----------------+------------------------+
54 rows in set, 51 warnings (0.001 sec)
