Участок,Адрес
18,ул. Учительская
19,ул. Александровская
19,ул. Братская
19,ул. Гершонская
19,ул. Дивинская
19,ул. Зимняя
19,ул. Ильинская
19,ул. Ирининская
19,ул. Июльская
19,ул. Кипарисовая
19,Пер. Кипарисовый
19,ул. Кирпичная
19,ул. Колосовская
19,Пер. Луговой
19,ул. Малоритская
19,ул. Озерная
19,Пер. Озерный
19,ул. Отрадная
19,ул. Пихтовая
19,ул. Полярная
19,ул. Прибрежная
19,ул. Прохладная
19,ул. Свято-Афанасьевская
19,ул. Сердечная
19,ул. Слободская
19,ул. Старославянская
19,Пер. Садовый
19,Пер. Смоляной
19,ул. Туровская
19,Пер. Учительский
19,Пер. 2 Учительский
19,ул. Цветная
19,ул. Черниговская
19,ул. Янтарная
