 КолСтудВУниверситете | ИдУниверситета | РейтингУниверситета |                                                             НаименованиеУниверсистета                                                              
                  937 |             49 |                   3 | Международный гуманитарно-экономический институт - белор. Міжнародны гуманітарна-эканамічны інстытут
                  937 |             30 |                   6 | Гомельский государственный технический университет имени П. О. Сухого - белор. Гомельскі дзяржаўны тэхнічны ўніверсітэт імя П. В. Сухога
                  935 |              5 |                   5 | Белорусский государственный аграрный технический университет - белор. Беларускі дзяржаўны аграрны тэхнічны ўніверсітэт
                  933 |             32 |                  12 | Гродненский государственный аграрный университет - белор. Гродзенскі дзяржаўны аграрны універсітэт
                  932 |             14 |                   8 | Белорусский государственный университет информатики и радиоэлектроники - белор. Беларускі дзяржаўны ўніверсітэт інфарматыкі і радыёэлектронікі
                  932 |             17 |                   3 | Белорусский государственный университет транспорта - белор. Беларускі дзяржаўны ўніверсітэт транспарту
                  931 |             19 |                  14 | Белорусский государственный экономический университет - белор. Беларускі дзяржаўны эканамічны ўніверсітэт
                  928 |             21 |                   8 | Белорусско-Российский университет - белор. Беларуска-Расійскі ўніверсітэт
                  927 |             22 |                  14 | Брестский государственный технический университет - белор. Брэсцкі дзяржаўны тэхнічны ўніверсітэт
                  927 |             40 |                   7 | Полесский государственный университет - белор. Палескі дзяржаўны ўніверсітэт
                  925 |             42 |                   9 | Университет гражданской защиты МЧС Республики Беларусь - белор. Універсітэт грамадзянскай абароны МНС Беларусi
                  925 |             18 |                   8 | Белорусский государственный университет физической культуры - белор. Беларускі дзяржаўны ўніверсітэт фізічнай культуры
                  914 |             47 |                   8 | Институт управления и предпринимательства - белор. Інстытут кіравання і прадпрымальніцтва
                  912 |             38 |                  13 | Могилёвский институт Министерства внутренних дел Республики Беларусь - белор. Магілёўскі інстытут Міністэрства ўнутраных спраў Рэспублікі Беларусь
                  908 |             37 |                  17 | Могилёвский государственный университет имени А. А. Кулешова - белор. Магілёўскі дзяржаўны ўніверсітэт імя Аркадзя Куляшова
                  907 |             34 |                  16 | Гродненский государственный университет имени Янки Купалы - белор. Гродзенскі дзяржаўны ўніверсітэт імя Янкі Купалы
                  889 |             26 |                  15 | Витебский государственный технологический университет - белор. Віцебскі дзяржаўны тэхналагічны ўніверсітэт
(50 rows)
